Ticker,Sector
ACB,Tài chính
BID,Tài chính
CTG,Tài chính
DGC,Nguyên vật liệu
FPT,Công nghệ thông tin
GAS,Tiện ích
GVR,Nguyên vật liệu
HDB,Tài chính
HPG,Nguyên vật liệu
LPB,Tài chính
MBB,Tài chính
MSN,Tiêu dùng thiết yếu
MWG,Tiêu dùng không thiết yếu
PLX,Năng lượng
SAB,Tiêu dùng thiết yếu
SHB,Tài chính
SSB,Tài chính
SSI,Tài chính
STB,Tài chính
TCB,Tài chính
TPB,Tài chính
VCB,Tài chính
VHM,Bất động sản
VIB,Tài chính
VIC,Bất động sản
VJC,Công nghiệp
VNM,Tiêu dùng thiết yếu
VPB,Tài chính
VPL,Tiêu dùng không thiết yếu
VRE,Bất động sản
